modelID,Metabolite
ade_c,Adenine
adn_c,Adenosine
adpgc,ADP-glucose
alaala_c,Ala-Ala
crn-D_c,Carnitine
cytd_c,Cytidine
dadp_c,dADP
gua_c,Guanine
ins_c,Inosine
orn_c,Ornithine
uaagmda_c,UDP-N-acetylglucosamine
4abut_c,GABA
cgly_c,Cys-Gly
