Var1,Var2
LMPD_2_10fthf_c,1
LMPD_3_10fthf_c,1
LMPD_4_10fthf_c,1
LMPD_5_2dmmql8_c,1
LMPD_6_2fe2s_c,1
LMPD_7_2fe2s_c,1
LMPD_8_2fe2s_c,1
LMPD_9_2fe2s_c,1
LMPD_10_2fe2s_c,1
LMPD_11_2fe2s_c,1
LMPD_12_2fe2s_c,1
LMPD_13_2fe2s_c,1
LMPD_14_4fe4s_c,1
LMPD_15_4fe4s_c,1
LMPD_16_4fe4s_c,1
LMPD_17_4fe4s_c,1
LMPD_18_4fe4s_c,1
LMPD_19_4fe4s_c,1
LMPD_20_4fe4s_c,1
LMPD_21_4fe4s_c,1
LMPD_22_5mthf_c,1
LMPD_23_5mthf_c,1
LMPD_24_accoa_c,1
LMPD_25_accoa_c,1
LMPD_26_adocbl_c,1
LMPD_27_adocbl_c,1
LMPD_28_adocbl_c,1
LMPD_29_adocbl_c,1
LMPD_30_ala-L_c,1
LMPD_31_amet_c,1
LMPD_32_amet_c,1
LMPD_33_arg-L_c,1
LMPD_34_asn-L_c,1
LMPD_35_bmocogdp_c,1
LMPD_36_bmocogdp_c,1
LMPD_37_bmocogdp_c,1
LMPD_38_bmocogdp_c,1
LMPD_39_btn_c,1
LMPD_40_btn_c,1
LMPD_41_btn_c,1
LMPD_42_btn_c,1
LMPD_43_btn_c,1
LMPD_44_btn_c,1
LMPD_45_btn_c,1
LMPD_47_btn_c,1
LMPD_48_ca2_c,1
LMPD_49_ca2_c,1
LMPD_50_ca2_c,1
LMPD_51_chor_c,1
LMPD_52_clpn160_p,1
LMPD_53_clpn160_p,1
LMPD_54_clpn160_p,1
LMPD_55_clpn160_p,1
LMPD_56_clpn160_p,1
LMPD_57_clpn160_p,1
LMPD_58_clpn160_p,1
LMPD_59_clpn160_p,1
LMPD_60_clpn160_p,1
LMPD_61_clpn160_p,1
LMPD_62_clpn161_p,1
LMPD_63_clpn161_p,1
LMPD_64_clpn161_p,1
LMPD_65_clpn161_p,1
LMPD_66_clpn161_p,1
LMPD_67_clpn161_p,1
LMPD_68_clpn161_p,1
LMPD_69_clpn181_p,1
LMPD_70_clpn181_p,1
LMPD_71_clpn181_p,1
LMPD_72_clpn181_p,1
LMPD_73_clpn181_p,1
LMPD_74_clpn181_p,1
LMPD_75_clpn181_p,1
LMPD_76_clpn181_p,1
LMPD_77_clpn181_p,1
LMPD_78_clpn181_p,1
LMPD_79_colipa_e,1
LMPD_80_colipa_e,1
LMPD_81_colipa_e,1
LMPD_82_colipa_e,1
LMPD_83_colipa_e,1
LMPD_84_colipa_e,1
LMPD_85_colipa_e,1
LMPD_86_colipa_e,1
LMPD_87_colipa_e,1
LMPD_88_colipa_e,1
LMPD_89_colipa_e,1
LMPD_90_colipa_e,1
LMPD_91_ctp_c,1
LMPD_92_cys-L_c,1
LMPD_93_cys-L_c,1
LMPD_94_datp_c,1
LMPD_95_datp_c,1
LMPD_96_datp_c,1
LMPD_97_datp_c,1
LMPD_98_dctp_c,1
LMPD_99_dgtp_c,1
LMPD_100_dgtp_c,1
LMPD_101_dgtp_c,1
LMPD_102_dgtp_c,1
LMPD_103_dgtp_c,1
LMPD_104_dgtp_c,1
LMPD_105_dttp_c,1
LMPD_106_dttp_c,1
LMPD_107_enter_c,1
LMPD_108_fad_c,1
LMPD_109_fad_c,1
LMPD_110_fad_c,1
LMPD_111_fad_c,1
LMPD_112_GAM_c,1
LMPD_113_GAM_c,1
LMPD_114_GAM_c,1
LMPD_115_GAM_c,1
LMPD_116_gln-L_c,1
LMPD_117_gly_c,1
LMPD_118_gthrd_c,1
LMPD_119_gthrd_c,1
LMPD_120_gtp_c,1
LMPD_121_gtp_c,1
LMPD_122_gtp_c,1
LMPD_123_gtp_c,1
LMPD_124_hemeO_c,1
LMPD_125_hemeO_c,1
LMPD_126_his-L_c,1
LMPD_127_his-L_c,1
LMPD_128_ile-L_c,1
LMPD_129_leu-L_c,1
LMPD_130_lipopb_c,1
LMPD_131_lipopb_c,1
LMPD_132_lipopb_c,1
LMPD_133_lipopb_c,1
LMPD_134_lys-L_c,1
LMPD_135_malcoa_c,1
LMPD_136_malcoa_c,1
LMPD_137_met-L_c,1
LMPD_138_met-L_c,1
LMPD_139_mlthf_c,1
LMPD_140_mlthf_c,1
LMPD_141_mococdp_c,1
LMPD_142_mococdp_c,1
LMPD_143_mococdp_c,1
LMPD_144_mococdp_c,1
LMPD_145_mococdp_c,1
LMPD_146_mococdp_c,1
LMPD_147_mococdp_c,1
LMPD_148_mococdp_c,1
LMPD_149_mocogdp_c,1
LMPD_150_mocogdp_c,1
LMPD_151_mocogdp_c,1
LMPD_152_mocogdp_c,1
LMPD_153_mql8_c,1
LMPD_154_murein3p3p_p,1
LMPD_155_murein3px4p_p,1
LMPD_156_murein4p4p_p,1
LMPD_157_murein4px4p_p,1
LMPD_158_murein4px4px4p_p,1
LMPD_159_nad_c,1
LMPD_160_nad_c,1
LMPD_161_nad_c,1
LMPD_162_nad_c,1
LMPD_163_pe160_c,1
LMPD_164_pe160_c,1
LMPD_165_pe160_c,1
LMPD_166_pe160_c,1
LMPD_167_pe160_c,1
LMPD_168_pe160_c,1
LMPD_169_pe160_c,1
LMPD_170_pe160_c,1
LMPD_171_pe160_c,1
LMPD_172_pe160_c,1
LMPD_173_pe161_c,1
LMPD_174_pe161_c,1
LMPD_175_pe161_c,1
LMPD_176_pe161_c,1
LMPD_177_pe161_c,1
LMPD_178_pe161_c,1
LMPD_179_pe161_c,1
LMPD_180_pe181_c,1
LMPD_181_pe181_c,1
LMPD_182_pe181_c,1
LMPD_183_pe181_c,1
LMPD_184_pe181_c,1
LMPD_185_pe181_c,1
LMPD_186_pe181_c,1
LMPD_187_pe181_c,1
LMPD_188_pe181_c,1
LMPD_189_pe181_c,1
LMPD_190_pg160_c,1
LMPD_191_pg160_c,1
LMPD_192_pg160_c,1
LMPD_193_pg160_c,1
LMPD_194_pg160_c,1
LMPD_195_pg160_c,1
LMPD_196_pg160_c,1
LMPD_197_pg160_c,1
LMPD_198_pg160_c,1
LMPD_199_pg160_c,1
LMPD_200_pg161_c,1
LMPD_201_pg161_c,1
LMPD_202_pg161_c,1
LMPD_203_pg161_c,1
LMPD_204_pg161_c,1
LMPD_205_pg161_c,1
LMPD_206_pg161_c,1
LMPD_207_pg181_c,1
LMPD_208_pg181_c,1
LMPD_209_pg181_c,1
LMPD_210_pg181_c,1
LMPD_211_pg181_c,1
LMPD_212_pg181_c,1
LMPD_213_pg181_c,1
LMPD_214_pg181_c,1
LMPD_215_pg181_c,1
LMPD_216_pg181_c,1
LMPD_217_phe-L_c,1
LMPD_218_pheme_c,1
LMPD_219_pheme_c,1
LMPD_220_pro-L_c,1
LMPD_221_ptrc_c,1
LMPD_222_pydx5p_c,1
LMPD_223_pydx5p_c,1
LMPD_224_q8h2_c,1
LMPD_225_q8h2_c,1
LMPD_226_q8h2_c,1
LMPD_227_q8h2_c,1
LMPD_228_q8h2_c,1
LMPD_229_q8h2_c,1
LMPD_230_q8h2_c,1
LMPD_231_q8h2_c,1
LMPD_232_q8h2_c,1
LMPD_233_q8h2_c,1
LMPD_234_q8h2_c,1
LMPD_235_ribflv_c,1
LMPD_236_ribflv_c,1
LMPD_237_ribflv_c,1
LMPD_238_ribflv_c,1
LMPD_239_ser-L_c,1
LMPD_240_sheme_c,1
LMPD_241_spmd_c,1
LMPD_242_spmd_c,1
LMPD_243_thf_c,1
LMPD_244_thf_c,1
LMPD_245_thf_c,1
LMPD_246_thf_c,1
LMPD_247_thmpp_c,1
LMPD_248_thmpp_c,1
LMPD_249_thr-L_c,1
LMPD_250_trp-L_c,1
LMPD_251_tyr-L_c,1
LMPD_252_udcpdp_c,1
LMPD_253_utp_c,1
LMPD_254_val-L_c,1
