Var1,Var2
ZN2tpp,1
ZNabcpp,0
Zn2tex,1
LMPD_1_10fthf_c,0
LMPD_2_10fthf_c,0
LMPD_3_10fthf_c,0
LMPD_4_10fthf_c,0
LMPD_5_2dmmql8_c,1
LMPD_6_2fe2s_c,0
LMPD_7_2fe2s_c,0
LMPD_8_2fe2s_c,0
LMPD_9_2fe2s_c,0
LMPD_10_2fe2s_c,0
LMPD_11_2fe2s_c,0
LMPD_12_2fe2s_c,0
LMPD_13_2fe2s_c,0
LMPD_14_4fe4s_c,0
LMPD_15_4fe4s_c,0
LMPD_16_4fe4s_c,0
LMPD_17_4fe4s_c,0
LMPD_18_4fe4s_c,0
LMPD_19_4fe4s_c,0
LMPD_20_4fe4s_c,0
LMPD_21_4fe4s_c,0
LMPD_22_5mthf_c,0
LMPD_23_5mthf_c,0
LMPD_24_accoa_c,0
LMPD_25_accoa_c,0
LMPD_26_adocbl_c,0
LMPD_27_adocbl_c,0
LMPD_28_adocbl_c,0
LMPD_29_adocbl_c,0
LMPD_30_ala-L_c,1
LMPD_31_amet_c,0
LMPD_32_amet_c,0
LMPD_33_arg-L_c,1
LMPD_34_asn-L_c,1
LMPD_35_bmocogdp_c,0
LMPD_36_bmocogdp_c,0
LMPD_37_bmocogdp_c,0
LMPD_38_bmocogdp_c,0
LMPD_39_btn_c,0
LMPD_40_btn_c,0
LMPD_41_btn_c,0
LMPD_42_btn_c,0
LMPD_43_btn_c,-1
LMPD_44_btn_c,-1
LMPD_45_btn_c,-1
LMPD_47_btn_c,-1
LMPD_48_ca2_c,0
LMPD_49_ca2_c,0
LMPD_50_ca2_c,0
LMPD_51_chor_c,1
LMPD_52_clpn160_p,0
LMPD_53_clpn160_p,0
LMPD_54_clpn160_p,0
LMPD_55_clpn160_p,0
LMPD_56_clpn160_p,0
LMPD_57_clpn160_p,0
LMPD_58_clpn160_p,0
LMPD_59_clpn160_p,0
LMPD_60_clpn160_p,0
LMPD_61_clpn160_p,1
LMPD_62_clpn161_p,0
LMPD_63_clpn161_p,0
LMPD_64_clpn161_p,0
LMPD_65_clpn161_p,1
LMPD_66_clpn161_p,0
LMPD_67_clpn161_p,0
LMPD_68_clpn161_p,0
LMPD_69_clpn181_p,0
LMPD_70_clpn181_p,0
LMPD_71_clpn181_p,0
LMPD_72_clpn181_p,0
LMPD_73_clpn181_p,0
LMPD_74_clpn181_p,0
LMPD_75_clpn181_p,0
LMPD_76_clpn181_p,0
LMPD_77_clpn181_p,0
LMPD_78_clpn181_p,1
LMPD_79_colipa_e,0
LMPD_80_colipa_e,0
LMPD_81_colipa_e,0
LMPD_82_colipa_e,0
LMPD_83_colipa_e,0
LMPD_84_colipa_e,0
LMPD_85_colipa_e,0
LMPD_86_colipa_e,1
LMPD_87_colipa_e,0
LMPD_88_colipa_e,0
LMPD_89_colipa_e,0
LMPD_90_colipa_e,0
LMPD_91_ctp_c,1
LMPD_92_cys-L_c,0
LMPD_93_cys-L_c,0
LMPD_94_datp_c,0
LMPD_95_datp_c,0
LMPD_96_datp_c,0
LMPD_97_datp_c,0
LMPD_98_dctp_c,1
LMPD_99_dgtp_c,0
LMPD_100_dgtp_c,0
LMPD_101_dgtp_c,0
LMPD_102_dgtp_c,0
LMPD_103_dgtp_c,0
LMPD_104_dgtp_c,0
LMPD_105_dttp_c,1
LMPD_106_dttp_c,0
LMPD_107_enter_c,1
LMPD_108_fad_c,0
LMPD_109_fad_c,0
LMPD_110_fad_c,0
LMPD_111_fad_c,0
LMPD_112_GAM_c,0
LMPD_113_GAM_c,0
LMPD_114_GAM_c,0
LMPD_115_GAM_c,0
LMPD_116_gln-L_c,1
LMPD_117_gly_c,1
LMPD_118_gthrd_c,0
LMPD_119_gthrd_c,0
LMPD_120_gtp_c,0
LMPD_121_gtp_c,0
LMPD_122_gtp_c,0
LMPD_123_gtp_c,0
LMPD_124_hemeO_c,1
LMPD_125_hemeO_c,0
LMPD_126_his-L_c,0
LMPD_127_his-L_c,0
LMPD_128_ile-L_c,1
LMPD_129_leu-L_c,1
LMPD_130_lipopb_c,0
LMPD_131_lipopb_c,0
LMPD_132_lipopb_c,0
LMPD_133_lipopb_c,0
LMPD_134_lys-L_c,1
LMPD_135_malcoa_c,0
LMPD_136_malcoa_c,0
LMPD_137_met-L_c,0
LMPD_138_met-L_c,0
LMPD_139_mlthf_c,0
LMPD_140_mlthf_c,0
LMPD_141_mococdp_c,0
LMPD_142_mococdp_c,0
LMPD_143_mococdp_c,0
LMPD_144_mococdp_c,0
LMPD_145_mococdp_c,0
LMPD_146_mococdp_c,0
LMPD_147_mococdp_c,0
LMPD_148_mococdp_c,0
LMPD_149_mocogdp_c,0
LMPD_150_mocogdp_c,0
LMPD_151_mocogdp_c,0
LMPD_152_mocogdp_c,0
LMPD_153_mql8_c,1
LMPD_154_murein3p3p_p,1
LMPD_155_murein3px4p_p,1
LMPD_156_murein4p4p_p,1
LMPD_157_murein4px4p_p,1
LMPD_158_murein4px4px4p_p,1
LMPD_159_nad_c,0
LMPD_160_nad_c,0
LMPD_161_nad_c,0
LMPD_162_nad_c,0
LMPD_163_pe160_c,0
LMPD_164_pe160_c,0
LMPD_165_pe160_c,0
LMPD_166_pe160_c,0
LMPD_167_pe160_c,0
LMPD_168_pe160_c,0
LMPD_169_pe160_c,0
LMPD_170_pe160_c,0
